"","Mu_d","Sigma","Tau_nd","Sigma_d","Beta","Theta","Weight"
"1",0.0082301689530541,0.0261640362054649,0.357774492912166,0.000167275840612442,0.320359388709442,0.18090262042388,0.996436370965897
"2",0.00655427010243024,0.0205692225730236,0.310669654047472,0.000108660090891286,0.246642243780693,0.190259831218377,0.647075104861072
"3",0.00772604221848845,0.0251610238182817,0.31476238165539,0.000153409583782642,0.255709332045686,0.165778762095665,0.691786624782228
"4",0.00763075470517993,0.0246305156634303,0.342116738868752,0.00017616571575067,0.264233273320319,0.162644221760038,0.931616035823654
"5",0.0057921251039497,0.0254319659513335,0.263564706626448,0.000135784127938726,0.196991678654173,0.212346636556527,0.891617746074611
"6",0.00823186701116618,0.0279198513569808,0.280741211521274,0.000183389021407235,0.266700473331398,0.180369930989446,0.616913067106758
"7",0.00702670981379957,0.0251228020005315,0.273829964708151,0.000152516098027506,0.327554775281154,0.140451229180744,0.7816399412934
"8",0.00835341859281818,0.0199830494591694,0.405686500882426,0.000151694981741194,0.258006062116684,0.172398378710015,0.663640208881645
"9",0.00879150035764491,0.0184902830385467,0.377501301876017,0.000160627709626626,0.23990727088283,0.142914478246132,0.68596585378137
"10",0.00822563531821816,0.0323163007178951,0.315776380888466,0.000185083782562529,0.239796953242849,0.18479726697427,0.784929699942806
"11",0.00770817575473691,0.0252706958389515,0.318366904075588,0.000140908570163466,0.256138674381335,0.159913200186722,0.738174959425976
"12",0.00758943971156417,0.0255030171605146,0.356695947207479,0.00016183651051586,0.253550892194836,0.186367659971987,0.698871721755283
"13",0.00681757489554996,0.0265836649940321,0.339981720516302,0.000136608898226921,0.205218741435528,0.101426327914804,0.754055446375287
"14",0.00694912732001507,0.0164981876410309,0.289655175750573,0.000159959647870165,0.213976324648373,0.174426185790705,0.834821470923699
"15",0.00574418028088326,0.0262263006434418,0.197485088177041,0.000172403574311555,0.250934394442009,0.187965190196065,0.878146337632807
"16",0.00853643174499235,0.0189531617562195,0.364658744636943,0.000143971227662467,0.24282145249246,0.193169530601027,0.582384113152239
"17",0.00537041256730247,0.0197551646436545,0.255240926104767,0.000130321632230744,0.291019415700505,0.203738647673705,1.01584316689654
"18",0.00505737673138436,0.0195274193916384,0.334406421716135,0.000155824227927144,0.33886160843634,0.192740610816787,0.778685793579765
"19",0.00811466425123451,0.0224555287378653,0.324006669513679,0.000186242684887826,0.247924867526313,0.134709256611648,0.589749056258267
"20",0.00580911672055585,0.0229924335416107,0.298502208485926,0.000133247243729604,0.24728262033427,0.181016314283625,0.564576782580501
"21",0.00843445168190914,0.0223056043545619,0.348657675613326,0.000160511805475527,0.316417375104587,0.177672383052233,0.780387057307758
"22",0.00712071150293363,0.0254116829958717,0.362263125111219,9.23946026270779e-05,0.223069270582799,0.209196915132302,0.930862269190545
"23",0.00697053731363501,0.0239857615940034,0.313912547254905,0.000161279997302674,0.247620464331176,0.131578883362021,0.558941562313334
"24",0.00734659007925396,0.0223165116609305,0.277419068982785,0.000138306374512253,0.315556732574748,0.147339943629451,0.748943972424486
